"F_AREA";"scientificName";"LON";"LAT";"YEAR";"occurrenceStatus";"bathymetry"
"21";"Thunnus alalunga";-66.78;40.65;2001;1;-1137.63488769531
"47";"Thunnus alalunga";15.3919000626;-27.4584999084;2002;1;-1.55750000476837
"21";"Thunnus alalunga";-70.4;39.9;2001;1;-600.715026855469
"21";"Thunnus alalunga";-72.1166648865;39.2749996185;2001;1;-908.373413085938
"31";"Thunnus alalunga";-75.25;34.08;2001;1;-3124.76782226562
"21";"Thunnus alalunga";-72.16;39.36;2004;1;-698.095458984375
"31";"Thunnus alalunga";-77.0750007629;28.5749998093;2002;1;-1076.87255859375
"27";"Thunnus alalunga";-27.68333333;38.65;2000;1;-1304.31457519531
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2000;1;-16.0599994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"31";"Thunnus alalunga";-77.55;28.68;2002;1;-1037.24499511719
"21";"Thunnus alalunga";-73.7416687012;38.0499992371;2001;1;-1140.04626464844
"31";"Thunnus alalunga";-56.43;10.51;2005;1;-3938.5234375
"47";"Thunnus alalunga";17.1173992157;-29.9335002899;2003;1;-25.2474994659424
"31";"Thunnus alalunga";-66.91;16.08;2005;1;-4549.4326171875
"31";"Thunnus alalunga";-77.3249969482;28.4750003815;2002;1;-1042.4375
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"21";"Thunnus alalunga";-67.33;40.31;2000;1;-1594.17431640625
"21";"Thunnus alalunga";-67.63;40.31;2000;1;-779.976379394531
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-78.53;28.65;2003;1;-919.5
"21";"Thunnus alalunga";-70.33;39.86;2005;1;-859.669799804688
"21";"Thunnus alalunga";-72.08;39.51;2003;1;-439.845001220703
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"27";"Thunnus alalunga";-27.7;38.66666667;2000;1;-1291.62463378906
